,Unnamed: 0,date,names,locs,tweet_texts,links,linked_text,liked,topic,topic_prob,t1,t2,t3,t4,t5,political_alignment,liberal_confidence,conservative_confidence
0,0,1-Apr,The New York Times,New York City,The New York Mets’ season-opening game against the Washington Nationals was postponed after at least one Nationals… https://t.co/ng61NN960N,,,1.0,"rec, sport, baseball",0.9936,rec,sport,baseball,,,Liberal,0.7655667662620544,0.23443323373794556
1,1,1-Apr,The Washington Post,"Washington, DC",Opinion: How Nancy Reagan helped end the Cold War https://t.co/y0Zk4XDB29,https://wapo.st/3m9QtWK,,0.0,"talk, politics, misc",0.88161,talk,politics,misc,,,Conservative,0.002974183764308691,0.9970257878303528
2,2,1-Apr,BBC News (World),"London, UK",Derek Chauvin trial: George Floyd's girlfriend tells of first kiss and addiction https://t.co/n6eMc5WQcd,https://bbc.in/3fzMAcj,,0.0,"sci, med",0.35176,sci,med,,,,Liberal,0.980510413646698,0.01948954537510872
3,3,1-Apr,The Guardian,London,The Unholy review – Satan continues to inspire the very worst films https://t.co/OJmqT91aHg,https://www.theguardian.com/film/2021/apr/01/the-unholy-review-james-herbert-novel?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617294111,,0.0,"talk, religion, misc",0.89839,talk,religion,misc,,,Liberal,0.9921543002128601,0.007845734246075153
4,4,1-Apr,Karen Hao,EST,Oh hey my promotion is official today! I'm thrilled to say I have progressed from senior reporter to senior editor… https://t.co/6nVsJaYfSJ,,,0.0,"rec, sport, baseball",0.34719,rec,sport,baseball,,,Liberal,0.9751171469688416,0.02488292008638382
5,5,1-Apr,The New York Times,New York City,"President Biden said that the Texas Rangers’ decision to open their 43,000-seat stadium to full capacity was “a mis… https://t.co/Y1nZeWvwem",,,0.0,"rec, sport, baseball",0.96469,rec,sport,baseball,,,Liberal,0.996885359287262,0.00311458483338356
6,6,1-Apr,Keir Starmer,United Kingdom,This is the difference Labour can make in power. #VoteLabour https://t.co/6qcXYV3AAP,,,0.0,"misc, forsale",0.2779,misc,forsale,,,,Conservative,0.16586239635944366,0.8341375589370728
7,7,1-Apr,The Times,London,A female member of Oxford University's rowing club has claimed she was sexually assaulted by one of the university’… https://t.co/JKeKhBWaSK,,,0.0,"talk, religion, misc",0.17405,talk,religion,misc,,,Conservative,0.0021396810188889503,0.9978603720664978
8,8,1-Apr,Transport for London 🚶🏼‍♀️🚴🏼‍♀️,"London, England","Our Tube, rail and bus network is safe and clean 🚇🚉🚍

👉 See what you can do to help safety and hygiene

👉 See how w… https://t.co/KbevHajJFn",,,0.0,"misc, forsale",0.30891,misc,forsale,,,,Liberal,0.9998995065689087,0.0001005140584311448
9,9,1-Apr,BBC News (UK),London,Mural of Black Lives Matter Bristol activist Jen Reid created to promote anti-racism https://t.co/BM7v6yNBnI,https://bbc.in/3whBAX6,,0.0,"talk, politics, misc",0.98522,talk,politics,misc,,,Liberal,0.9999111890792847,8.881036046659574e-05
10,10,1-Apr,Timnit Gebru,,"Well @JeffDean made his stance very clear by congratulating him...

Jeff Ullman has many other things to say about… https://t.co/Ayv713mHwC",,,0.0,"talk, religion, misc",0.51731,talk,religion,misc,,,Conservative,0.08064427971839905,0.9193557500839233
11,11,1-Apr,The New York Times,New York City,The IRS alleges that drugmaker Bristol Myers used an abusive offshore scheme to cheat the U.S. out of about $1.4 bi… https://t.co/51qFI6hrAq,,,1.0,"talk, politics, misc",0.75187,talk,politics,misc,,,Conservative,0.20600903034210205,0.793990969657898
12,12,1-Apr,The Verge,New York,Supreme Court says Facebook text alerts aren’t illegal robocalls https://t.co/WGhYBza1eH https://t.co/MjFmhRdb8b,https://www.theverge.com/2021/4/1/22362203/facebook-duguid-supreme-court-ruling-robocalls-tcpa?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter,,,"sci, crypt",0.69667,sci,crypt,,,,Conservative,0.0002630100061651319,0.9997369647026062
13,13,1-Apr,The Verge,New York,Samsung created a whole Hulu series that’s sponcon for the Galaxy S21 Ultra 5G https://t.co/RDpvi1L65s https://t.co/vuqDB5Z8R7,https://www.theverge.com/2021/4/1/22362153/samsung-s21-ultra-hulu-exposure-show-branded-content?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter,,0.0,"comp, sys, ibm, pc, hardware",0.50505,comp,sys,ibm,pc,hardware,Liberal,0.9997592568397522,0.0002407188294455409
14,14,1-Apr,The Guardian,London,"Pfizer vaccine has 91% efficacy for up to six months, trial shows https://t.co/P9ZleRHzuA",https://www.theguardian.com/world/2021/apr/01/pfizer-vaccine-has-91-efficacy-for-up-to-six-months-trial-shows?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1617294925,,0.0,"sci, med",0.99235,sci,med,,,,Liberal,0.9998881816864014,0.00011176065891049802
15,15,1-Apr,The Washington Post,"Washington, DC",Analysis: The infrastructure bill is Biden politics at its purest https://t.co/4Cc3fyxTKU,https://wapo.st/3fzo6jI,,0.0,"talk, politics, misc",0.97327,talk,politics,misc,,,Liberal,0.9992029070854187,0.0007971381419338286
16,16,1-Apr,The Verge,New York,Joe Biden’s infrastructure plan would take on the wreckage of drilling and mining https://t.co/rIvzfft6fx https://t.co/JoY9SF3PBn,https://www.theverge.com/2021/4/1/22362079/joe-biden-infrastructure-plan-abandoned-oil-gas-wells-mines?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter,,0.0,"sci, space",0.98351,sci,space,,,,Liberal,0.9999278783798218,7.211308547994122e-05
17,17,1-Apr,Timnit Gebru,,ACM is on a roll isn’t it? https://t.co/t8GSCxiKAT,,,0.0,"comp, sys, mac, hardware",0.31775,comp,sys,mac,hardware,,Conservative,0.007318176329135895,0.9926818013191223
18,18,1-Apr,The Guardian,London,Tell us: how should the issue of sexual misconduct in schools be managed? https://t.co/p0JzCkpU9P,https://www.theguardian.com/society/2021/mar/29/tell-us-how-should-the-issue-of-sexual-misconduct-in-schools-be-managed,,0.0,"talk, politics, misc",0.44169,talk,politics,misc,,,Liberal,0.9988170862197876,0.0011829405557364225
19,19,1-Apr,The Washington Post,"Washington, DC","Actor Colman Domingo, who is in the Oscar-nominated film adaptation of “Ma Rainey’s Black Bottom,” joins The Post t… https://t.co/gYCYnzLF3u",,,0.0,"rec, sport, baseball",0.45833,rec,sport,baseball,,,Liberal,0.9796532392501831,0.02034671977162361
20,20,1-Apr,The New York Times,New York City,"Virginia’s Supreme Court ruled that the city of Charlottesville can remove statues of two Confederate generals, inc… https://t.co/UZ1yahBYq0",,,0.0,"talk, politics, guns",0.48766,talk,politics,guns,,,Conservative,0.06544162333011627,0.9345583319664001
21,21,1-Apr,The Guardian,London,Experts cited in No 10's race report claim they were not properly consulted https://t.co/u8P0lSXHfW,https://www.theguardian.com/world/2021/apr/01/experts-cited-in-no-10s-race-report-claim-they-were-not-properly-consulted?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1617294510,,0.0,"talk, politics, misc",0.39699,talk,politics,misc,,,Liberal,0.9344615340232849,0.06553847342729568
22,22,1-Apr,The Times,London,"#WorldatFive 🌎: China is ratcheting up military pressure on Taiwan, probing the air defences of the self-governed i… https://t.co/owoqA3c6Ga",,,0.0,"talk, politics, misc",0.96915,talk,politics,misc,,,Liberal,0.9998998641967773,0.00010007153468905017
